KEY,English,Deutsch,Portugues
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Bloco de ferro
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn)
DoorVertical,Automatic Door 1 (vert),Automatiktür 1 (vertikal)
DoorVerticalGlass,Automatic Door 2 (vert),Automatiktür 2 (vertikal)
DoorArmoredBlocks,Armored Automatic Door Blocks,Automatiktür Blöcke (gepanzert)
DoorArmored,Automatic Armored Door,Gepanzerte Automatiktür
DoorVerticalArmored,Automatic Armored Door (vert),Gepanzerte Automatiktür (vertikal)
DoorSS01,Manual Door,Manuelle Türe
HangarDoorBlocks,Hangar Doors,Hangartüren
HangarDoor01Large2,Hangar Door (13x7),Hangartüre (13x7)
HangarDoor01Medium2,Hangar Door (9x5),Hangartüre (9x5)
HangarDoor01Small2,Hangar Door (5x3),Hangartüre (5x3)
HangarDoor01Large,Hangar Door (14x7),Hangartüre (14x7)
HangarDoor01Medium,Hangar Door (10x5),Hangartüre (10x5)
HangarDoor01Small,Hangar Door (6x3),Hangartüre (6x3)
ShutterDoorBlocks,Shutter Doors,Rolltore
ShutterDoor1x1,Shutter Door (1x1),Rolltor (1x1)
ShutterDoor1x2,Shutter Door (1x2),Rolltor (1x2)
ShutterDoor2x2,Shutter Door (2x2),Rolltor (2x2)
ShutterDoor2x3,Shutter Door (2x3),Rolltor (2x3)
ShutterDoor3x3,Shutter Door (3x3),Rolltor (3x3)
ShutterDoor4x4,Shutter Door (4x4),Rolltor (4x4)
ShutterDoor5x5,Shutter Door (5x5),Rolltor (5x5)
ShutterDoorBlocksSV,Shutter Doors,Rolltore
ShutterDoor1x1SV,Shutter Door (1x1),Rolltor (1x1)
ShutterDoor2x2SV,Shutter Door (2x2),Rolltor (2x2)
ShutterDoor3x3SV,Shutter Door (3x3),Rolltor (3x3)
ShutterDoor3x4SV,Shutter Door (3x4),Rolltor (3x4)
RampBlocks,Ramp Blocks,Rampenblöcke
Ramp1x1x1,Ramp (1x1x1),Rampe (1x1x1)
Ramp1x2x1,Ramp (1x2x1),Rampe (1x2x1)
Ramp1x3x1,Ramp (1x3x1),Rampe (1x3x1)
Ramp1x4x2,Ramp (1x4x2),Rampe (1x4x2)
Ramp3x1x1,Ramp (3x1x1),Rampe (3x1x1)
Ramp3x2x1,Ramp (3x2x1),Rampe (3x2x1)
Ramp3x3x1,Ramp (3x3x1),Rampe (3x3x1)
Ramp3x4x2,Ramp (3x4x2),Rampe (3x4x2)
Ramp3x5x3,Ramp (3x5x3),Rampe (3x5x3)
OxygenGeneratorSmall,Emergency O2 Generator,Notfall O2 Generator
OxygenGenerator,Oxygen Generator,Sauerstoff Generator
OxygenHydrogenGenerator,Oxygen Hydrogen Generator,Sauerstoff/Wasserstoff Generator
WaterGenerator,Water Generator,Wassergenerator
FoodProcessorMS,Food Processor (old - please replace),Nahrungsmittel-Prozessor (alt - bitte austauschen)
FoodProcessorV2,Food Processor,Nahrungsmittel-Prozessor
DockingPad,Docking Pad,Andockplatte
LandinggearBlocksSV,Landinggear Blocks (T1),Fahrwerksblöcke (T1)
LandinggearBlocksHeavySV,Landinggear Blocks (T2),Fahrwerksblöcke (T2)
LandinggearShort,Docking Pad,Andockplatte
LandinggearSV,Landing Gear 1,Fahrwerk 1
LandinggearSingle,Landing Gear 2,Fahrwerk 2
LandinggearSingleShort,Landing Gear 3,Fahrwerk 3
LandinggearDouble,Heavy Landing Gear 1,Fahrwerk groß 1
LandinggearDoubleShort,Heavy Landing Gear 2,Fahrwerk groß 2
LandinggearHeavySV,Heavy Landing Gear 3,Fahrwerk groß 3
LandinggearBlocksCV,Landinggear Blocks,Fahrwerksblöcke
LandinggearMSLight,Landing Gear 1,Fahrwerk 1
LandinggearSingleCV,Landing Gear 2,Fahrwerk 2
LandinggearSingleShortCV,Landing Gear 3,Fahrwerk 3
LandinggearDoubleCV,Heavy Landing Gear 1,Fahrwerk groß 1
LandinggearDoubleShortCV,Heavy Landing Gear 2,Fahrwerk groß 2
LandinggearMSHeavy,Heavy Landing Gear 3,Fahrwerk groß 3
ContainerAmmoSmall,Small Ammo Box,Munitionskiste (klein)
ContainerAmmoLarge,Large Ammo Box,Munitionskiste (groß)
GeneratorSV,Generator,Generator
FuelTankSV,Fuel Tank,Treibstofftank
FuelTankMSSmall,Fuel Tank (T1),Treibstofftank (T1)
FuelTankMSLarge,Fuel Tank (T2),Treibstofftank (T2)
FuelTankMSLargeT2,Fuel Tank (T3),Treibstofftank (T3)
FuelTankPOI,Fuel Tank POI,Treibstofftank POI
RepairBayBA,Repair Bay,Reparaturstation
RepairBayCV,Repair Bay,Reparaturstation
ATM,ATM,ATM
OxygenTankEscapePod,O2 Tank,O2 Tank
HoverBooster,Hover Booster,Boostersystem
HoverEngineSmall,Hover Engine (1x1),Schwebesystem (1x1)
HoverEngineLarge,Hover Engine (2x2),Schwebesystem (2x2)
CockpitSV_fighter,Cockpit 8,Cockpit 8
CockpitSV_fighter_Noscale,Cockpit 7,Cockpit 7
CockpitSV_ShortRange,Cockpit 5,Cockpit 5
CockpitSV,Cockpit 6,Cockpit 6
CockpitSV02,Cockpit 1,Cockpit 1
CockpitSV03,Cockpit 2,Cockpit 2
CockpitSV05,Cockpit 3,Cockpit 3
CockpitSV07,Cockpit 4,Cockpit 4
CockpitSV01,Cockpit 9,Cockpit 9
CockpitOpenSV,Cockpit (open),Cockpit (offen)
PassengerSeatMS,Passenger Seat,Passagiersitz
SpotlightSS,Spotlight Slope,Schweinwerfer schräg
SpotlightSSCube,Spotlight Cube,Scheinwerfer
ContainerEscapePod1,Cargo Box,Frachtbox
ContainerEscapePod2,Cargo Box,Frachtbox
ContainerEscapePod3,Cargo Box,Frachtbox
ContainerEscapePod4,Cargo Box,Frachtbox
ContainerEscapePod5,Cargo Box,Frachtbox
ContainerEscapePod6,Cargo Box,Frachtbox
AlienContainer,Alien Container,Alien Container
AlienContainerRare,Alien Container (Rare),Alien Container (selten)
AlienContainerVeryRare,Alien Container (Very Rare),Alien Container (sehr selten)
AlienContainerUltraRare,Alien Container (Ultra Rare),Alien Container (extrem selten)
CorePlayer,Core,Kern
CoreEnemy,Alien Core,Alienkern
CoreFlyDir,Core (obsolete),Kern (veraltet)
Stone,Stone,Stein
Air,Container,Container
PlayerBike,Motorbike,Motorbike
PlayerBikeKit,Motorbike Construction Kit,Motorradbausatz
ConsoleMS01,Console (Deco),Konsole (Deco)
AntennaMS01,Antenna (Deco),Antenne (Deco)
TurretRadar,Radar (Deco),Radar (Deco)
CapacitorMS,Capacitor (Deco),Kondensator (Deco)
CapacitorSS,Capacitor SV (Deco),Kondensator (Deco)
ConsoleSmallMS01,Console (Deco),Konsole (Deco)
ConsoleLargeMS01,Console (Deco),Konsole (Deco)
ConsoleLargeMS01a,Console (Deco),Konsole (Deco)
ConsoleLargeMS02,Console (Deco),Konsole (Deco)
ConsoleMapMS01,Console (Deco),Konsole (Deco)
HoloScreen01,Holographic Screen 01,Holo Bildschirm 01
HoloScreen02,Holographic Screen 02,Holo Bildschirm 02
HoloScreen03,Holographic Screen 03,Holo Bildschirm 03
HoloScreen04,Holographic Screen 04,Holo Bildschirm 04
HoloScreen05,Holographic Screen 05,Holo Bildschirm 05
SciencelabMS,Science Lab (Deco),Labor (Deco)
TurretMSMinigun,Minigun Turret,Minigun-Geschütz
TurretMSCannon,Cannon Turret,Kanonen Geschütz
TurretMSFlak,Flak Turret,Flak Geschütz
TurretMSRocket,Rocket Turret,Raketenwerfer-Geschütz
TurretMSPlasma,Plasma Turret,Plasma Geschütz
TurretMSArtillery,Artillery Turret,Artillerie Geschütz
TurretMSPulseLaser,Pulse Laser Turret,Laser Geschütz
TurretBaseMinigun,Minigun Turret,Minigun-Geschütz
TurretBaseCannonOld,Cannon Turret,Kanonen Geschütz
TurretBaseCannon,Cannon Turret,Kanonen Geschütz
TurretBaseRocketOld,Rocket Turret,Raketenwerfer-Geschütz
TurretBaseRocket,Rocket Turret,Raketenwerfer-Geschütz
TurretBaseFlak,Flak Turret,Flak Geschütz
TurretBasePlasma,Plasma Turret,Plasma Geschütz
TurretBasePulseLaser,Pulse Laser Turret,Laser Geschütz
TurretBaseArtillery,Artillery Turret,Artillerie Geschütz
TurretEnemyLaser,Laser Turret - Planet (Alien),Laser-Kanone Planet (Alien)
TurretIONCannon,Ion Cannon - Planet (Alien),Ionen-Kanone Planet (Alien)
TurretIONCannon2,Ion Cannon - Space (Alien),Ionen-Kanone Weltraum (Alien)
TurretGVMinigun,Minigun Turret,Minigun Geschütz
TurretGVRocket,Rocket Turret,Raketenwerfer-Geschütz
TurretGVPlasma,Plasma Turret,Plasma Geschütz
TurretGVArtillery,Artillery Turret,Artillerie Geschütz
SentryGun01,Sentry Gun 1 (Alien),Selbstschussanlage 1 (Alien)
SentryGun02,Sentry Gun 2 (Alien),Selbstschussanlage 2 (Alien)
SentryGun03,Sentry Gun 3 (Player),Selbstschussanlage 3 (Spieler)
SentryGun04,Sentry Gun 4 (Alien),Selbstschussanlage 4 (Alien)
sentryGunSingle,Cannon,Geschütz
WeaponSV01,Rail Gun,Rail Gun
WeaponSV02,Gatling Gun,Minigun
WeaponSV03,Pulse Laser,Pulslaser
WeaponSV04,Plasma Cannon,Plasmakanone
WeaponSV05,Rocket Launcher,Raketenwerfer
WeaponSV05Homing,Rocket Launcher (Homing),Raketenwerfer (LFK)
WeaponMS01,Rocket Launcher,Raketenwerfer
WeaponMS02,Pulse Laser,Pulslaser
SawAttachment,Harvester Module,Holz-Vollernter
SawAttachmentWeapon,Harvester Module,Holz-Vollernter
Chainsaw,Chainsaw,Kettensäge
TextureTool,Texture & Symbol Tool,Texturierungsgerät
ColorTool,Color Tool,Lackierpistole
ChangeTool,Change & Rotate Tool,Wechsel- & Rotationsgerät
OxygenBottleLarge,O2 Bottle,O2 Flasche
OxygenBottleSmall,Small O2 Bottle,O2 Flasche klein
HydrogenBottle,Hydrogen Bottle,Wasserstoffflasche
Flashlight,Flashlight,Taschenlampe
Drill,Drill,Bohrer (T1)
DrillT2,Drill (T2),Bohrer (T2)
DrillT0,Mechanical Drill,Mechanischer Bohrer
MultiTool,Multi Tool,Multifunktionswerkzeug
MultiToolT2,Multi Tool (T2),Multifunktionswerkzeug (T2)
Fillertool,Filler & Flatten Tool,Füll- & Einebnungsgerät
Backpack,Backpack,Rucksack
DropContainer,Drop Container,Notbehälter
Pistol,Projectile Pistol,Pistole
PistolT2,Projectile Pistol (T2),Pistole (T2)
PistolEpic,Epic Projectile Pistol,Epische Pistole
LaserPistol,Laser Pistol,Laserpistole
LaserRifle,Laser Rifle,Lasergewehr
LaserRifleEpic,Epic Laser Rifle,Episches Lasergewehr
Shotgun,Shotgun,Schrotflinte
Shotgun2,Shotgun (T2),Schrotflinte (T2)
Shotgun2Epic,Epic Shotgun,Epische Schrotflinte
Minigun,Minigun,Minigun
MinigunEpic,Epic Minigun,Episches Minigun
AssaultRifle,Assault Rifle,Sturmgewehr
AssaultRifleEpic,Epic Assault Rifle,Episches Sturmgewehr
PulseRifle,Pulse Rifle,Pulsgewehr
Sniper,Sniper Rifle,Scharfschützen-Gewehr
Sniper2,Sniper (T2),Scharfschützen-Gewehr (T2)
Sniper2Epic,Epic Sniper,Episches Scharfschützen-Gewehr
RocketLauncher,Rocket Launcher,Raketenwerfer
RocketLauncherT2,Rocket Launcher (T2),Raketenwerfer (T2)
RocketLauncherEpic,Epic Rocket Launcher,Epischer Raketenwerfer
ScifiCannon,Plasma Cannon,Plasmakanone
ScifiCannonEpic,Epic Plasma Cannon,Epische Plasmakanone
Explosives,Explosive Device,Sprengstoff
TurretMSMinigunWeapon,Minigun Turret,Minigun-Geschütz
TurretMSCannonWeapon,Cannon Turret,Kanonen Geschütz
TurretMSFlakWeapon,Flak Turret,Flak Geschütz
TurretMSRocketWeapon,Rocket Turret,Raketenwerfer-Geschütz
TurretMSPlasmaWeapon,Plasma Turret,Plasma Geschütz
TurretMSArtilleryWeapon,Artillery Turret,Artillerie Geschütz
TurretMSPulseLaserWeapon,Pulse Laser Turret,Laser Geschütz
RocketLauncherMSWeapon,Rocket Launcher,Raketenwerfer
PulseLaserMSWeapon,Pulse Laser,Pulslaser
TurretBaseMinigunWeapon,Minigun Turret,Minigun-Geschütz
TurretBaseCannonWeapon,Cannon Turret,Kanonen Geschütz
TurretBaseRocketWeapon,Rocket Turret,Raketenwerfer-Geschütz
TurretBaseFlakWeapon,Flak Turret,Flak Geschütz
TurretBasePlasmaWeapon,Plasma Turret,Plasma Geschütz
TurretBasePulseLaserWeapon,Pulse Laser Turret,Laser Geschütz
TurretBaseArtilleryWeapon,Artillery Turret,Artillerie Geschütz
MinigunSSWeapon,Gatling Gun,Gatling Gun
PlasmaCannonSSWeapon,Plasma Cannon,Plasmakanone
RocketLauncherSSWeapon,Rocket Launcher,Raketenwerfer
RocketLauncherSSHomingWeapon,Rocket Launcher (H-MSL),Raketenwerfer (Z-RAK)
PulseLaserSSWeapon,Pulse Laser,Pulslaser
RailgunSSWeapon,Rail Gun,Rail Gun
TurretGVMinigunWeapon,Gatling Gun,Minigun-Geschütz
TurretGVRocketWeapon,Rocket Launcher,Raketenwerfer-Geschütz
TurretGVPlasmaWeapon,Plasma Cannon,Plasmakanonen-Geschütz
TurretGVArtilleryWeapon,Artillery Cannon,Artillerie Geschütz
ShotgunShells,12Ga Shell,Patrone 12Ga
50Caliber,.50Cal,Kaliber .50
8.3mmBullet,8.3mm Bullet,"8,3mm Kugel"
5.8mmBullet,5.8mm Bullet,"5,8mm Kugel"
12.7mmBullet,12.7mm Bullet,"12,7mm Kugel"
30mmBullet,30mm Bullet,30mm Kugel
15mmBullet,15mm Bullet,15mm Kugel
BioFuel,Bio Fuel,Biokraftstoff
DrillCharge,Drill Charge,Bohrer-Ladung
FillerCharge,F&F Charge,F&E Ladung
MultiCharge,Multi Charge,Multi Ladung
PulseLaserChargePistol,LP Charge,LP Ladung
PulseLaserChargeRifle,LR Charge,LG Ladung
FlakRocket,Flak Shell BA,Flak Geschoss BA
FlakRocketMS,Flak Shell CV,Flak Geschoss GR
ArtilleryRocket,Artillery Shell HV,Art. Geschoss BG
SlowRocket,120mm MSL,120mm RAK
SlowRocketHoming,120mm H-MSL,120mm Z-RAK
FastRocket,135mm MSL SV,135mm RAK KR
FastRocketHoming,135mm H-MSL SV/HV,135mm Z-RAK GR/BG
FastRocketMS,150mm H-MSL CV,150mm Z-RAK GR
FastRocketBA,150mm H-MSL BA,150mm Z-RAK BA
LargeRocket,160mm MSL BA,160mm RAK BA
LargeRocketMS,160mm MSL CV,160mm RAK GR
SciFiCannonPlasmaCharge,Pl.Charge Cannon ,PK Ladung 
PlasmaCannonChargeSS,Pl.Charge SV,PK Ladung KR
TurretMSPlasmaCharge,Pl.Charge CV,PK Ladung GR
TurretBAPlasmaCharge,Pl.Charge BA,PK Ladung BA
TurretGVPlasmaCharge,Pl.Charge HV,PK Ladung BG
PulseLaserChargeSS,Ls.Charge SV,Ls.Ladung KR
PulseLaserChargeMS,Ls.Charge CV,Ls.Ladung GR
PulseLaserChargeBA,Ls.Charge BA,Ls.Ladung BA
IONCannonCharge,ION Charge,Ionen-Ladung
IONCannonCharge2,ION Charge,Ionen-Ladung
RailgunBullet,Railgun Bullet,Railgun Kugel
IronOre,Iron Ore,Eisenerz
CobaltOre,Cobalt Ore,Kobalterz
SiliconOre,Silicon Ore,Siliziumerz
NeodymiumOre,Neodymium Ore,Neodymerz
CopperOre,Copper Ore,Kupfererz
PromethiumOre,Promethium Ore,Promethiumerz
MagnesiumOre,Magnesium Ore,Magnesiumerz
ErestrumOre,Erestrum Ore,Erestrumerz
ZascosiumOre,Zascosium Ore,Zascosiumerz
CrushedStone,Crushed Stone,Schotter
SathiumOre,Sathium Ore,Sathiumerz
GoldOre,Gold Ore,Golderz
PromethiumPellets,Promethium Pellets,Promethiumpellets
EnergyCell,Fuel Pack (Promethium),Kraftstoffzelle (Promethium)
EnergyCellHydrogen,Fuel Pack (Hydrogen),Kraftstoffzelle (Hydrogen)
EnergyCellLarge,Large Fuel Pack (Promethium),Kraftstoffzelle groß (Promethium)
FusionCell,Fusion Cell,Fusionszelle
IronResource,Iron Deposit,Eisenerzlager
PromethiumResource,Promethium Deposit,Promethiumerzlager
CopperResource,Copper Deposit,Kupfererzlager
CobaltResource,Cobalt Deposit,Kobalterzlager
SiliconResource,Silicon Deposit,Siliziumerzlager
MagnesiumResource,Magnesium Deposit,Magnesiumerzlager
NeodymiumResource,Neodymium Deposit,Neodymiumerzlager
ErestrumResource,Erestrum Deposit,Erestrumerzlager
ZascosiumResource,Zascosium Deposit,Zascosiumerzlager
SathiumResource,Sathium Deposit,Sathiumerzlager
GoldResource,Gold Deposit,Goldader
AsteroidIron,Iron Meteorite,Eisenmeteorit
AsteroidCopper,Copper Meteorite,Kupfermeteorit
AsteroidPromethium,Promethium Meteorite,Promethiummeteorit
AsteroidSilicon,Silicon Meteorite,Siliziummeteorit
AsteroidNeodymium,Neodymium Meteorite,Neodymiummeteorit
AsteroidMagnesium,Magnesium Meteorite,Magnesiummeteorit
AsteroidCobalt,Cobalt Meteorite,Kobaltmeteorit
AsteroidErestrum,Erestrum Meteorite,Erestrummeteorit
AsteroidSathium,Sathium Meteorite,Sathiummeteorit
AsteroidZascosium,Zascosium Meteorite,Zascosiummeteorit
AsteroidGold,Gold Meteorite,Goldmeteorit
IronIngot,Iron Ingot,Eisenbarren
PromethiumIngot,Promethium Ingot,Promethiumbarren
CopperIngot,Copper Ingot,Kupferbarren
CobaltIngot,Cobalt Ingot,Kobaltbarren
SiliconIngot,Silicon Ingot,Siliziumbarren
NeodymiumIngot,Neodymium Ingot,Neodymiumbarren
ErestrumIngot,Erestrum Ingot,Erestrumbarren
ZascosiumIngot,Zascosium Ingot,Zascosiumbarren
SathiumIngot,Sathium Ingot,Sathiumbarren
GoldIngot,Gold Ingot,Goldbarren
CrystalBlue,Blue Crystal,Blauer Kristall
CrystalWarp,Pentaxid,Pentaxid
MagnesiumPowder,Magnesium Powder,Magnesiumpulver
WoodLogs,Wood Logs,Holzstämme
WoodPlanks,Wood Planks,Holzlatten
Cement,Cement,Zement
RockDust,Rock Dust,Gesteinsmehl
PlasticMaterial,Plastic Raw Material,Kunststoff-Rohmaterial
Fiber,Fiber,Fasern
SeaWeed,Seaweed,Meeresalgen
Corn,Corn,Mais
GoldCoins,Gold Coins,Goldmünzen
MoneyCard,Money Card,Geldkarte
IndoorPlant01,Artificial Indoor Plant 1,Künstliche Zimmerpflanze 1
IndoorPlant02,Artificial Indoor Plant 2,Künstliche Zimmerpflanze 2
IndoorPlant03,Artificial Indoor Plant 3,Künstliche Zimmerpflanze 3
KitchenCounter,Kitchen Counter,Küchentheke
BathroomCounter,Bathroom Vanity,Badezimmer Vanity
ReceptionTable,Reception Table,Rezeptionstisch
ReceptionTableCorner,Reception Table Corner,Rezeptionstisch Ecke
SmallTable,Small Table,Kleiner Beistelltisch
KitchenTable,Dining Table Bench,Esstisch mit Bank
TableTV,TV Table,TV Tisch
ControlStation,Control Station,Kontrolleinheit
Bookshelf,Bookshelf,Bücherregal
Sofa,Sofa,Sofa
Toilet,Toilet,Toilette
Shower,Shower,Dusche
Bed,Bed 2,Bett 2
ScifiBed,Bed,Bett
ScifiLargeSofa,Bench,Sitzbank
ScifiNightstand,Nightstand,Nachttisch
ScifiSofa,Bench 2,Sitzbank 2
ScifiStorage,Closet,Schrank
ScifiTable,Table,Tisch
ScifiShower,Shower 2,Dusche 2
ScifiPlant,Artificial Indoor Plant 4,Künstliche Zimmerpflanze 4
ScifiContainer1,Cargo Box 1,Frachtbox 1
ScifiContainer2,Cargo Box 2,Frachtbox 2
ScifiContainerEnergy,Power Storage (Deco),Energiebehälter (Deko)
ScifiContainerPower,Cargo Box 3,Frachtbox 3
ScifiChair,Chair,Stuhl
ScifiTableV2,Table 2,Tisch 2
ScifiComputerTable,Computer Table,Computertisch
ScifiMediaCenter,Media Center,Mediacenter
RottenFood,Spoiled Food,Verdorbenes Lebensmittel
DurianRoot,Durian Sprout,Durian-Keim
SpaceOrange,Space Oranges,Space Oranges
SpaceDurian,Space Durians,Space Durians
CornStage1,Corn Sprout,Mais-Keim
PumpkinStage1,Pumpkin Sprout,Kürbis-Keim
WheatStage1,Wheat Sprout,Weizen-Keim
TomatoStage1,Tomato Sprout,Tomaten-Keim
Tomato,Tomatoes,Tomaten
InsanityPepperStage1,Space Kavae Sprout,Space Kavae-Keim
DesertPlant20Stage1,Aloe Vera Sprout,Aloe Vera-Keim
AlienPlantTube2Stage1,Ahax Plant Sprout,Ahax Pflanzen-Keim
ElderberryStage1,Akua Berry Sprout,Akua Beere-Keim
AlienPalmTreeStage1,Space Orange Sprout,Space Orange-Keim
AlienplantWormStage1,Alien Honey Plant Sprout,Alien Honig Pflanzenkeim
BulbShroomYoungStage1,Textured Plant Protein Sprout,Texturiertes Pflanzeneiweißkeim
Pearthing,Pearthing Fruits,Pearthing Früchte
FrenchFries,Space Fries,Space Pommes
Pumpkin,Pumpkins,Kürbis
PearthingStage1,Pearthing Sprout,Pearthing-Keim
Meat,Raw Meat,Rohes Fleisch
Steak,Grilled Steak,Gegrilltes Steak
Stew,Dino Stew Royal,Dino-Eintopf Royal
CannedVegetables,Canned Vegetables,Gemüsekonserven
CannedMeat,Canned Meat,Fleischkonserven
CobraLeaves,Cobra Leaves,Cobra-Blätter
SeaWeedSnack,Seaweed Snack,Meeresalgen Snack
Bread,Bread,Brot
Egg,Egg,Ei
Wheat,Wheat,Weizen
AkuaFruit,Ahax Fruit,Ahax-Früchte
Varonroot,Varon Root,Varon-Wurzel
MushroomSpiky,Spiky Mushroom,Stachelige Pilze
MushroomBrown,Brown Mushroom,Braune Pilze
TexturedPlantProtein,Textured Plant Protein,Texturiertes Pflanzeneiweiß
BulbPlantPod,Gaea's Seed Pod,Gaea's Samenhülsen
VeggiePatty,Veggie Patty,Veggie-Patty
VeggieBurger,Veggie Burger,Veggie-Burger
MeatBurger,Meat Burger,Fleisch-Burger
OpuntiaCactusSpears,Opuntia Cactus,Opuntia Kaktus
OpuntiaCactusPlant,Opuntia Cactus Plant,Opuntia Kaktuspflanze
CheeseWheel,Cheese Wheel,Käselaib
CheeseSlice,Cheese Slice,Käsescheibe
MuleMilk,Mule Milk,Maultiermilch
AloeVera,Aloe Vera,Aloe Vera
NutrientSolution,Nutrient Solution,Nährlösung
PixieStalkBundle,Pixie Stalk Bundle,Pixie Stiel-Bündel
PhoenixFernPlant,Phoenix Fern Plant,Phoenix Farnpflanze
PhoenixFernRoot,Phoenix Fern Root,Phoenix Farnwurzel
PhoenixFernFonds,Phoenix Fern Frond,Phoenix Fern Frond
AlienThorn,Alien Thorn,Aliendorn
AlienTooth,Alien Tooth,Alienzahn
CornDogFruit,Corn Dog,Corn Dog
PastaWithRedSauce,Pasta With Red Sauce,Nudeln mit Tomatensoße
SteamedTrumpetStalks,Steamed Trumpet Greens,Gedünstete Trumpet Greens
TrumpetStalkBundle,Trumpet Stalk Bundle,Trumpet Stielbündel
BrainFungus,Brafus Fungus,Hirnpilz
BrafusFungi,Brafus Fungi,Brafus-Pilze
ConfettiMossScrapings,Confetti Moss Scrapings,Confetti Moss Scrapings
FireMossScrapings,Fire Moss Scrapings,Fire Moss Scrapings
ClusterShroom,Fire Moss,Feuermoos
EmergencyRations,Emergency Rations,Notverpflegung
WaterJug,Water Jug,Wasserkanister
WaterBottle,Purified Water,Gereinigtes Wasser
WaterBottleEmpty,Empty water bottle,Leere Wasserflasche
KavaeBeans,Kavae Beans,Kaffeebohnen
RoastedKavaeBeans,Roasted Kavae Beans,Geröstete Kaffeebohnen
EnergyPills,Energy Pills,Energie Kapseln
KavaeCoffee,Kavae Coffee,Kavae Kaffee
AlienHoney,Alien Honey,Alien Honig
AkuaBerry,Akua Berry,Akua Beere
FruitPie,Fruit Pie,Früchtekuchen
BakedPumpkin,Baked Pumpkin,Gebackener Kürbis
PumpkinCookie,Pumpkin Cookie,Kürbiskeks
AlienSpikeLemon,Alien Spike Lemon,Alien Spike Lemon
EggPlantParts,Egg Plant Parts,Egg Plant Teile
AlienParts01,Alien Plasma ZR1,Alien Plasma ZR1
AlienParts02,Alien Parts,Alienteile
AlienParts03,Alien Plasma T6,Alien Plasma T6
Bandages,Bandages,Bandagen
Medikit02,Small Medikit,Medikit klein
Medikit03,Large Medikit,Medikit groß
AntidotePills,Antidote Pills,Gegengift (Tabletten)
AntidoteInjection,Antidote Injection,Gegengift (Injektion)
AntibioticOintment,Antibiotic Ointment,Wundsalbe 
AdrenalineShot,Adrenaline Shot,Adrenalinspritze
CapacitorComponent,Capacitor Device,Kondensatoreinheit
ControlPanel,Control Device,Steuergerät
Electronics,Electronics,Elektronik
FluxCoil,Flux Coil,Fluxspule
PowerCoil,Power Coil,Stromspule
Motor,Motor,Motor
ReactorCore,Reactor Core,Reaktorkern
SteelPlate,Steel Plate,Stahlplatte
SteelPlateArmored,Hardened Steel Plate,Gehärtete Stahlplatte
MetalComponents,Metal Components,Metallkomponenten
MetalPieces,Metal Pieces,Metallstücke
GlassPlate,Glass Plate,Glasplatte
Cables,Cables,Kabel
Pipes,Pipes,Rohre
Computer,Computer,Computer
AdvancedCPU,Advanced CPU,Erweiterte CPU
SpawnNewBase,Base Starter,Basis-Starter
SpawnNewSV,Small Vessel Starter,Kleines-Raumschiff-Starter
SpawnNewCV,Capital Vessel Starter,Großes-Raumschiff-Starter
SpawnNewGV,Hover Vessel Starter,Bodengleiter-Starter
NameBase,Base,Basis
NameSV,Small Vessel,Kleines Raumschiff
NameCV,Capital Vessel,Großes Raumschiff
NameGV,Hover Vessel,Bodengleiter
AbbrevBase,BA,BA
AbbrevSV,SV,KR
AbbrevCV,CV,GR
AbbrevGV,HV,BG
DroneSmallFast01Rocket,Rocket Drone,Raketendrohne
DroneSmallAttackBase,Minigun Drone,Minigundrohne
DroneSmallSlow01Minigun,Minigun Drone,Minigundrohne
DroneSmallFast01Minigun,Minigun Drone,Minigundrohne
DroneSmallFast01Plasma,Plasma Drone,Plasmadrohne
DroneSmallSlow01Cannon,Cannon Drone,Kanonendrohne
DroneSmallSlow02Minigun,Double Minigun Drone,Doppel-Minigundrohne
EnemyDroneV2Minigun,Large Minigun Drone,Große Minigundrohne
EnemyDroneV2Plasma,Large Plasma Drone,Große Plasmadrohne
DroneLargeSlow01Minigun,Large Minigun Drone,Große Minigundrohne
DroneLargeSlow01Plasma,Large Plasma Drone,Große Plasmadrohne
DroneLargeSlow02Minigun,Large Double Minigun Drone,Große Doppel Minigundrohne
DroneLargeSlow02Cannon,Large Cannon Drone,Große Kanonendrohne
DroneLargeSlowGardian,Heavy Drone (short range fire),Schwere Drohne (kurze Reichweite)
SpaceDroneLaser,Space Drone (Laser),Weltraumdrohne (Laser)
SpaceDronePlasma,Space Drone (Plasma),Weltraumdrohne (Plasma)
DroneTroopsTransport,Troop Transport,Truppentransport
CaveWormGrey,Arachnid,Arachnid
CaveWormGreyLeader,Arachnid - Leader,Arachnid - Anführer
CaveWormGreyGroup,Arachnid,Arachnid
CaveWormWhite,Arachnid,Arachnid
CaveWormGreen,Arachnid,Arachnid
MegalonopsGreen,Dinosaur,Dinosaurier
MegalonopsGrey,Dinosaur,Dinosaurier
MegalonopsBrown,Dinosaur,Dinosaurier
LizardMule,Lizard Mule,Echsenmaultier
LizardMuleBaby,Lizard Mule Baby,Echsenmaultierbaby
LizardMuleLeader,Lizard Mule - Leader,Echsenmaultier - Anführer
LizardMuleGroup,Lizard Mule,Echsenmaultier
Overseer,Overseer,Overseer
Spinosaurus,Dinosaur,Dinosaurier
AlienBug01,Alien Insect,Alien Insekt
