"String Identifier","English (United States)","Chinese Simplified",French,German,"Portuguese (Brazil)",Spanish,"String Description"
BulbShroomYoungStage1,"Textured Plant Protein Sprout",,"Pousse de plante à texture","Texturiertes Pflanzeneiweißkeim","Textured Plant Protein Sprout","Brote de Planta de Proteína Texturada",
Pearthing,"Pearthing Fruits",,"Fruit poiremachin","Pearthing Früchte","Pearthing Fruits","Fruto de Pera",
FrenchFries,"Space Fries",,"Frites de l'espace","Space Pommes","Space Fries","Patatas fritas espaciales",
Pumpkin,Pumpkins,,Potiron,Kürbis,Pumpkins,Calabaza,
PearthingStage1,"Pearthing Sprout",,"Pousse de poiremachin",Pearthing-Keim,"Pearthing Sprout","Brote de Pera",
Meat,"Raw Meat",,"Viande crue","Rohes Fleisch","Raw Meat","Carne Cruda",
Steak,"Grilled Steak",,"Steak grillé","Gegrilltes Steak","Grilled Steak","Asado a la Parilla",
Stew,"Dino Stew Royal",,"Civet de dino royal","Dino-Eintopf Royal","Dino Stew Royal","Estofado Real",
CannedVegetables,"Canned Vegetables",,"Conserve de légumes",Gemüsekonserven,"Canned Vegetables","Vegetales Enlatados",
CannedMeat,"Canned Meat",,"Conserve de viande",Fleischkonserven,"Canned Meat","Carne Enlatada",
CobraLeaves,"Cobra Leaves",,"Feuilles Cobra",Cobra-Blätter,"Cobra Leaves","Hojas de Cobra",
SeaWeedSnack,"Seaweed Snack",,"Snack aux algues","Meeresalgen Snack","Seaweed Snack","Bocadillo de Algas",
Bread,Bread,,Pain,Brot,Bread,Pan,
Egg,Egg,,Oeufs,Ei,Egg,Huevo,
Wheat,Wheat,,Blé,Weizen,Wheat,Trigo,
AkuaFruit,"Ahax Fruit",,"Fruit ahax",Ahax-Früchte,"Ahax Fruit","Fruto Ahax",
Varonroot,"Varon Root",,"Racine de Varon",Varon-Wurzel,"Varon Root","Raíz de Váron",
MushroomSpiky,"Spiky Mushroom",,"Champignon irritable","Stachelige Pilze","Spiky Mushroom","Seta Espigada",
MushroomBrown,"Brown Mushroom",,"Champignon marron","Braune Pilze","Brown Mushroom","Seta Marrón",
TexturedPlantProtein,"Textured Plant Protein",,"Protéine de plante texturée","Texturiertes Pflanzeneiweiß","Textured Plant Protein","Proteína Texturada",
BulbPlantPod,"Gaea's Seed Pod",,"Cosse de graines Gaea","Gaea's Samenhülsen","Gaea's Seed Pod","Vainas de Gaia",
VeggiePatty,"Veggie Patty",,"Emincé de légumes",Veggie-Patty,"Veggie Patty","Empanada Vegetariana",
VeggieBurger,"Veggie Burger",,"Hamburger végétarien",Veggie-Burger,"Veggie Burger","Hamburguesa vegetariana",
MeatBurger,"Meat Burger",,Hamburger,Fleisch-Burger,"Meat Burger","Hamburguesa de Carne",
OpuntiaCactusSpears,"Opuntia Cactus",,"Feuille de cactus Opuntia","Opuntia Kaktus","Opuntia Cactus","Cactus Opuntia",
OpuntiaCactusPlant,"Opuntia Cactus Plant",,"Cactus Opuntia","Opuntia Kaktuspflanze","Opuntia Cactus Plant","Planta Cactus Opuntia",
CheeseWheel,"Cheese Wheel",,Fromage,Käselaib,"Cheese Wheel","Horma de Queso",
CheeseSlice,"Cheese Slice",,"Tranche de fromage",Käsescheibe,"Cheese Slice","Rebanada de Queso",
MuleMilk,"Mule Milk",,"Lait de mule",Maultiermilch,"Mule Milk","Leche de Mula",
AloeVera,"Aloe Vera",,"Aloe Vera","Aloe Vera","Aloe Vera","Aloe Vera",
NutrientSolution,"Nutrient Solution",,"Solution nutritive",Nährlösung,"Nutrient Solution","Solución Nutritiva",
PixieStalkBundle,"Pixie Stalk Bundle",,"Paquet de tiges de Pixie","Pixie Stiel-Bündel","Pixie Stalk Bundle","Bulto de Tallo de Duendecillo",
PhoenixFernPlant,"Phoenix Fern Plant",,"Fougère Phoenix","Phoenix Farnpflanze","Phoenix Fern Plant","Planta de Helecho de Fénix",
PhoenixFernRoot,"Phoenix Fern Root",,"Racine de fougère Phoenix","Phoenix Farnwurzel","Phoenix Fern Root","Raíz de Helecho de Fénix",
PhoenixFernFonds,"Phoenix Fern Frond",,"Feuille de fougère Phoenix",Phoenixfarn,"Phoenix Fern Frond","Fronda de Helecho de Fénix",
AlienThorn,"Alien Thorn",,"Epine alien",Aliendorn,"Alien Thorn","Espino Alienígena",
AlienTooth,"Alien Tooth",,"Dent alien",Alienzahn,"Alien Tooth","Espino Alienígena",
CornDogFruit,"Corn Dog",,"Saucisse de mais","Maisteig Würstchen","Corn Dog","Perrito de Maíz",
PastaWithRedSauce,"Pasta With Red Sauce",,"Pâtes à la sauce rouge","Nudeln mit Tomatensoße","Pasta With Red Sauce","Pasta con Salsa Roja",
SteamedTrumpetStalks,"Steamed Trumpet Greens",,"Légumes Trompette à la vapeur","Gedünstete Trumpet Greens","Steamed Trumpet Greens","Trompetas verdes cocidas al vapor",
TrumpetStalkBundle,"Trumpet Stalk Bundle",,"Paquet de tiges de Trompette","Trumpet Stielbündel","Trumpet Stalk Bundle","Bulto de Tallo de Trompeta",
BrainFungus,"Brafus Fungus",,"Champignon Brafus",Hirnpilz,"Brafus Fungus","Hongo Brafus",
BrafusFungi,"Brafus Fungi",,"Champignons Brafus",Brafus-Pilze,"Brafus Fungi","Hongo Brafus",
ConfettiMossScrapings,"Confetti Moss Scrapings",,"Miettes d'écorce de mousse de feu",Konfettimoos,"Confetti Moss Scrapings","Raspadura de Musgo de Confeti",
FireMossScrapings,"Fire Moss Scrapings",,"Ecorce de mousse de feu",Feuermoos,"Fire Moss Scrapings","Raspadura de Musgo de Confeti",
ClusterShroom,"Fire Moss",,"Mousse de feu",Feuermoos,"Fire Moss","Musgo de Fuego",
EmergencyRations,"Emergency Rations",,"Rations d'émergence",Notverpflegung,"Emergency Rations","Raciones de Emergencia",
WaterJug,"Water Jug",,"Bouteille d'eau",Wasserkanister,"Water Jug","Bidón de Agua",
WaterBottle,"Purified Water",,"Eau purifiée","Gereinigtes Wasser","Purified Water","Agua Purificada",
WaterBottleEmpty,"Empty water bottle",,"Bouteille d'eau vide","Leere Wasserflasche","Empty water bottle","Botella de Agua Vacía",
KavaeBeans,"Kavae Beans",,"Haricots Kavae",Kaffeebohnen,"Kavae Beans","Granos de Kavae",
RoastedKavaeBeans,"Roasted Kavae Beans",,"Haricots Kavae tostés","Geröstete Kaffeebohnen","Roasted Kavae Beans","Granos de Kavae Tostados",
EnergyPills,"Energy Pills",,"Pilules énergisantes","Energie Kapseln","Energy Pills","Píldoras de Energía",
KavaeCoffee,"Kavae Coffee",,"Café de Kavae","Kavae Kaffee","Kavae Coffee","Café de Kavae",
AlienHoney,"Alien Honey",,"Miel alien","Alien Honig","Alien Honey","Miel Alienígena",
AkuaBerry,"Akua Berry",,"Baie Akua","Akua Beere","Akua Berry","Bayas de Akua",
FruitPie,"Fruit Pie",,"Tarte aux fruits",Früchtekuchen,"Fruit Pie","Pastel de Fruta",
BakedPumpkin,"Baked Pumpkin",,"Potiron au four","Gebackener Kürbis","Baked Pumpkin","Calabaza Horneada",
PumpkinCookie,"Pumpkin Cookie",,"Biscuit au potiron",Kürbiskeks,"Pumpkin Cookie","Galleta de Calabaza",
Ham,Ham,火腿,Jambon,Schinken,Presunto,Jamón,
Cheese,Cheese,奶酪,Fromage,Käse,Queijo,Queso,
Pizza,Pizza,披萨,Pizza,Pizza,Pizza,Pizza,
Sandwich,Sandwich,三明治,Sandwich,Sandwich,Sanduíche,Sandwich,
Waffles,Waffles,威化饼,Gaufres,Waffeln,Waffles,Wafles,
Ratatouille,Ratatouille,蔬菜杂烩,Ratatouille,Ratatouille,Ratatouille,Ratatouille,
Popcorn,Popcorn,爆米花,Popcorn,Popcorn,Pipoca,"Palomitas de Maíz",
Ribs,"Spare Ribs",排骨,"Côtes de porc",Schälrippchen,Costelas,Costillar,
AlienSpikeLemon,"Alien Spike Lemon",,"Citron alien à pointes","Außerirdische Stachelzitrone","Alien Spike Lemon","Clavo de Limón Alienígena",
EggPlantParts,"Egg Plant Parts",,"Partie de plante-oeuf","Egg Plant Teile","Egg Plant Parts","Planta de Huevo",
AlienParts01,"Alien Plasma ZR1",,"Plasma alien ZR1","Außerirdisches Plasma ZR1","Alien Plasma ZR1","Plasma ZR1 Alienígena",
AlienParts02,"Alien Parts",,"Parties alien",Alienteile,"Alien Parts","Partes Alienígenas",
AlienParts03,"Alien Plasma T6",,"Plasma alien T6","Außerirdisches Plasma T6","Alien Plasma T6","Plasma T6 Alienígena",
Bandages,Bandages,,Sparadrap,Bandagen,Bandages,Vendajes,
Medikit02,"Small Medikit",,"Petit kit médical","Medikit klein","Small Medikit","Kit Médico Pequeño",
Medikit03,"Large Medikit",,"Grand Medikit","Medikit groß","Large Medikit","Kit Médico Grande",
AntidotePills,"Antidote Pills",,"Pilules de antidote","Gegengift (Tabletten)","Antidote Pills","Píldoras de Antídoto",
AntidoteInjection,"Antidote Injection",,"Injection de antidote","Gegengift (Injektion)","Injeção de antídoto","Inyección de Antídoto",
AntibioticOintment,"Antibiotic Ointment",,"Onguent antibiotique","Wundsalbe ","Pomada antibiótica","Ungüento Antibiótico",
AdrenalineShot,"Adrenaline Shot",,"Injection de adrénaline",Adrenalinspritze,Adrenalina,"Inyección de Adrenalina",
CapacitorComponent,"Capacitor Device",,"Accumulateur industriel",Kondensatoreinheit,"Capacitor Device","Dispositivo Condensador",
ControlPanel,"Control Device",,"Système de contrôle",Steuergerät,"Dispositivo de controle","Dispositivo de Control",
Electronics,Electronics,,Electronique,Elektronik,Eletrônicos,Electrónicos,
FluxCoil,"Flux Coil",,"Bobine de flux",Fluxspule,"Bobina de Fluxo","Bobina de Flujo",
PowerCoil,"Power Coil",,"Bobine de puissance",Stromspule,"Bobina de energia","Bobina de Energía",
Motor,Motor,,Moteur,Motor,Motor,Motor,
ReactorCore,"Reactor Core",,"Noyau de réacteur",Reaktorkern,"Núcleo reator","Núcleo del Reactor",
SteelPlate,"Steel Plate",,"Plaque d'acier",Stahlplatte,"Placa de aço","Placa de Acero",
SteelPlateArmored,"Hardened Steel Plate",,"Plaque d'acier trempé","Gehärtete Stahlplatte","Placa de aço resistente","Placa de Acero Endurecido",
MetalComponents,"Metal Components",,"Composants métalliques",Metallkomponenten,"Componentes de metal","Componentes Metálicos",
MetalPieces,"Metal Pieces",,"Pièces métalliques",Metallstücke,"Peças de metal","Piezas Metálicas",
GlassPlate,"Glass Plate",,"Plaque de verre",Glasplatte,"Placa de vidro","Plancha de Vidrio",
Cables,Cables,,Câbles,Kabel,Cabos,Cables,
Pipes,Pipes,,Tuyaux,Rohre,Canos,Tubos,
Computer,Computer,,Ordinateur,Computer,Computador,Ordenador,
AdvancedCPU,"Advanced CPU",,"Unité centrale avancée","Erweiterte CPU","CPU avançado","CPU avanzada",
SpawnNewBase,"Base Starter",,"Bloc de départ (base)",Basis-Starter,"Núcleo de base","Cubo Inicial de Base",
SpawnNewSV,"Small Vessel Starter",,"Bloc de départ (vaisseau léger)",Kleines-Raumschiff-Starter,"Núcleo de nave leve","Cubo Inicial de Nave Pequeña",
SpawnNewCV,"Capital Vessel Starter",,"Bloc de départ (vaisseau mère)",Großes-Raumschiff-Starter,"Núcleo de nave","Cubo Inicial de Nave Capital",
SpawnNewGV,"Hover Vessel Starter",,"Bloc de départ (planeur)",Bodengleiter-Starter,"Núcleo de hovercraft","Cubo Inicial de Deslizador",
NameBase,Base,,Base,Basis,Base,Base,
NameSV,"Small Vessel",,"Vaisseau léger (VL)","Kleines Raumschiff","Nave pequena","Nave pequeña",
NameCV,"Capital Vessel",,"Vaisseau mère","Großes Raumschiff",Nave,"Nave Capital",
NameGV,"Hover Vessel",,Planeur,Bodengleiter,Hovercraft,Deslizador,
AbbrevBase,BA,,Ba,SP,BA,BA,
AbbrevSV,SV,,VL,KR,NP,NP,
AbbrevCV,CV,,VM,GR,NV,NC,
AbbrevGV,HV,,Pl,BG,HC,VD,
DroneSmallFast01Rocket,"Rocket Drone",,"Drone lance-missiles",Raketendrohne,"Drone de foguetes","Drone de cohétes",
DroneSmallAttackBase,"Minigun Drone",,"Drone à mitrailleuse",Minigundrohne,"Drone de minigun","Drone de multicañón",
DroneSmallSlow01Minigun,"Minigun Drone",,"Drone à mitrailleuse",Minigundrohne,"Drone de minigun","Drone de multicañón",
DroneSmallFast01Minigun,"Minigun Drone",,"Drone à mitrailleuse",Minigundrohne,"Drone de minigun","Drone de multicañón",
DroneSmallFast01Plasma,"Plasma Drone",,"Drone plasma",Plasmadrohne,"Drone de plasma","Drone de plasma",
DroneSmallSlow01Cannon,"Cannon Drone",,"Drone canonnier",Kanonendrohne,"Drone de canhões","Drone con cañón",
DroneSmallSlow02Minigun,"Double Minigun Drone",,"Drone à double mitrailleuse",Doppel-Minigundrohne,"Drone de minigun duplo","Drone de doble multicañón",
EnemyDroneV2Minigun,"Large Minigun Drone",,"Drone à mitrailleuse laser","Große Minigundrohne","Large Minigun Drone","Drone de multicañón grande",
EnemyDroneV2Plasma,"Large Plasma Drone",,"Grand drone plasma","Große Plasmadrohne","Large Plasma Drone","Drone de plasma grande",
DroneLargeSlow01Minigun,"Large Minigun Drone",,"Grand drone mitrailleuse","Große Minigundrohne","Large Minigun Drone","Drone de multicañón grande",
DroneLargeSlow01Plasma,"Large Plasma Drone",,"Grand drone plasma","Große Plasmadrohne","Large Plasma Drone","Drone de plasma grande",
DroneLargeSlow02Minigun,"Large Double Minigun Drone",,"Grande drone à double mitrailleuse","Große Doppel Minigundrohne","Large Double Minigun Drone","Gran Drone con Doble Multicañón",
DroneLargeSlow02Cannon,"Large Cannon Drone",,"Grand drone canonnier","Große Kanonendrohne","Large Cannon Drone","Gran Drone con Cañón",
DroneLargeSlowGardian,"Heavy Drone (short range fire)",,"Drone lourd (courte portée)","Schwere Drohne (kurze Reichweite)","Heavy Drone (short range fire)","Drone Pesado (rango de disparo corto)",
SpaceDroneLaser,"Space Drone (Laser)",,"Drone laser de l'espace","Weltraumdrohne (Laser)","Space Drone (Laser)","Drone Espacial (Laser)",
SpaceDronePlasma,"Space Drone (Plasma)",,"Drone plasma de l'espace","Weltraumdrohne (Plasma)","Space Drone (Plasma)","Drone Espacial (Plasma)",
DroneTroopsTransport,"Troop Transport",,"Transport de troupe",Truppentransport,"Troop Transport","Transporte de Tropas",
CV_Freighter_ClassI,"Freighter Class I",I类货船,"Cargo Classe I","Frachter MK I","Cargueiro Classe I","Carguero Clase I",
CV_Freighter_LightCarrier,"Freighter Light Carrier",轻量级货船,"Porteur de fret léger","Leichter Trägerfrachter","Cargueiro de Carga Leve","Carguero liviano",
CV_Freighter_Mule-Class-Bulk-Frgt,"Freighter Mule Class Bulk",骡子类散装货船,,"Esel Klasse Frachter","Cargueiro Mula Classe Granel","Carguero Mula Clase Carga Masiva",
CV_Freighter_Stalos-MK4,"Freighter Stalos MK4",货船斯塔罗斯MK4,"Cargos Stalos MK4","Stalos Frachter MK IV","Cargueiro Stalos MK4","Carguero Stalos MK4",
CV_Freighter-A1,"Freighter A1","货船 A1
","Cargo A1","A1 Frachter","Cargueiro A1","Carguero A1",
CV_Freighter_Warhound-Transport,"Freighter Warhound Transport",军犬运输货轮,"Porteur de fret Warhound","Kriegshund Transporterfrachter","Cargueiro Transporte Warhound","Carguero de Transporte 'Warhound'",
CV_Freighter_Pharos-Small-Freighter,"Freighter Pharos",货船灯塔,"Cargo Pharos","Pharos Frachter","Cargueiro Pharos","Carguero Pharos",
CV_Freighter-02-Cargo,"Freighter Cargo 02","货船 02","Cargo fret 02","Güterfrachter MK II","Cargueiro de Carga 02","Carguero Carga 02",
CV_Freighter-04-Cargo,"Freighter Cargo 04","货船 04","Cargo fret 04","Güterfrachter MK IV","Cargueiro de Carga 04","Carguero Carga 04",
CV_Freighter-06-Cargo,"Freighter Cargo 06","货船 06","Cargo fret 06","Güterfrachter MK VI","Cargueiro de Carga 06","Carguero Carga 06",
CV_Freighter-Tug-3,"Freighter Tug 3","拖船 3","Remorqueur de fret 3","Frachterschlepper III","Cargueiro Rebocador 3","Carguero Remolcador 3",
CV_Freighter-Tug-6,"Freighter Tug 6","拖船 6","Remorqueur de fret 6","Frachterschlepper 6","Cargueiro Rebocador 6","Carguero Remolcador 6",
CV_Freighter_Luxonberg-Ore-Hauler,"Freighter Luxonberg",拉克森伯格货船,"Cargo Luxonberg","Luxonberg Frachter","Cargueiro Luxonberg","Carguero Luxonberg",
CV_Freighter_Attenborough-Research,"Freighter Attenborough Research",研究阿滕伯勒货船,"Navire spatiographique Attenborough","Attenborough Forschungsfrachter","Cargueiro de Pesquisa Attenborough","Carguero de Investigación Attenborough",
CV_Freighter_Atherton-Heavy-Lift,"Freighter Atherton Heavy Lift",重型阿瑟顿货船,"Transporteur lourd Atherton","Atherton Schwerlastfrachter","Cargueiro Pesado Atherton","Carguero de Carga Pesada Atherton",
CV_Freighter_TVI_Freighter_1,"Freighter TVI",TVI货船,"Cargo TVI","Frachter TVI","Cargueiro TVI","Carguero TVI",
CaveWormGrey,Arachnid,,Arachnide,Arachnid,Arachnid,Arácnido,
CaveWormGreyLeader,"Arachnid - Leader",,"Arachnide - chef","Arachnid - Anführer","Arachnid - Leader","Arácnido (Líder)",
CaveWormGreyGroup,Arachnid,,Arachnide,Arachnid,Arachnid,Arácnido,
CaveWormWhite,Arachnid,,Arachnide,Arachnid,Arachnid,Arácnido,
CaveWormGreen,Arachnid,,Arachnide,Arachnid,Arachnid,Arácnido,
MegalonopsGreen,Dinosaur,,Dinosaure,Dinosaurier,Dinosaur,Dinosaurio,
MegalonopsGrey,Dinosaur,,Dinosaure,Dinosaurier,Dinosaur,Dinosaurio,
MegalonopsBrown,Dinosaur,,Dinosaure,Dinosaurier,Dinosaur,Dinosaurio,
LizardMule,"Lizard Mule",,"Lézard mulet",Echsenmaultier,"Lizard Mule",Mulagarto,
LizardMuleBaby,"Lizard Mule Baby",,"Petit de lézard mulet",Echsenmaultierbaby,"Lizard Mule Baby","Mulagarto (Cría)",
LizardMuleLeader,"Lizard Mule - Leader",,"Lézard mulet - chef","Echsenmaultier - Anführer","Lizard Mule - Leader","Mulagarto (Líder)",
LizardMuleGroup,"Lizard Mule",,"Lézard Mule",Echsenmaultier,"Lizard Mule",Mulagarto,
Overseer,Overseer,,Superviseur,Aufseher,Overseer,Capataz,
Spinosaurus,Dinosaur,,Dinosaure,Dinosaurier,Dinosaur,Dinosaurio,
AlienBug01,"Alien Insect",,"Insecte alien","Alien Insekt","Alien Insect","Insecto Alien",
AlienBug02,"Alien Scorpion",,"Scorpion alien","Alien Skorpion","Alien Scorpion","Escorpión Alienígena",
AlienBug03,"Alien Bug",,"Punaise alien","Alien Käfer","Alien Bug","Bicho Alien",
AlienBug04,"Alien Worm",,"Ver alien","Alien Wurm","Alien Worm","Gusano Alien",
Spider01,Spider,,Araignée,Spinne,Spider,Araña,
Spider02,Spider,,Araignée,Spinne,Spider,Araña,
Spider03,Spider,,Araignée,Spinne,Spider,Araña,
Triceratops,Dinosaur,,Dinosaure,Dinosaurier,Dinosaur,Dinosaurio,
TriceratopsBaby,"Dinosaur Baby",恐龙幼崽,"Petit de dinosaure",Dinosaurier,"Dinosaur Baby","Dinosaurio (Cría)",
WormDesertLarge,"Desert Worm (large)",沙漠蠕虫（大型）,"Grand ver du désert","Wüstenwurm (groß)","Desert Worm (large)","Gusano del Desierto (Grande)",
WormDesertLargeLeader,"Desert Worm Leader (large)",沙漠蠕虫王（大型）,"Grand ver du désert - chef","Wüstenwurm Anführer (groß)","Desert Worm Leader (large)","Gusano del Desierto (Grande-Líder)",
WormDesertLargeGroup,"Desert Worm (large)",沙漠蠕虫群,"Grand ver du désert","Wüstenwurm (groß)","Desert Worm (large)","Gusano del Desierto (Grande)",
WormDesert,"Desert Worm",沙漠蠕虫,"Ver du désert",Wüstenwurm,"Desert Worm","Gusano del Desierto",
WormDesertLeader,"Desert Worm - Leader",沙漠蠕虫王,"Ver du désert - chef","Wüstenwurm - Anführer","Desert Worm - Leader","Gusano del Desierto (Líder)",
WormDesertGroup,"Desert Worm",沙漠蠕虫群,"Ver du désert",Wüstenwurm,"Desert Worm","Gusano del Desierto",
GolemDesert,"Desert Golem",沙漠高伦石巨人,"Golem du désert",Wüstengolem,"Desert Golem","Golem del Desierto",
GolemSwamp,"Swamp Golem",沼泽高伦石巨人,"Golem des marais",Sumpfgolem,"Swamp Golem","Golem del Pantano",
GolemIce,"Ice Golem",冰川高伦石巨人,"Golem des glaces",Eisgolem,"Ice Golem","Golem de Hielo",
ArmoredGolem,"Armored Golem",装甲高伦石巨人,"Golem blindé","Gepanzerter Golem","Armored Golem","Golem Blindado",
Otyugh,Otyugh,食腐兽,Otyugho,Otyugh,Otyugh,Otyugh,
TotalHorror,Nightmare,梦魇,Cauchemar,Alptraum,Nightmare,Pesadilla,
ZiraxMale,Zirax,雄性依瑞克斯,Zirax,Zirax,Zirax,Zirax,
ZiraxFemale,Zirax,雌性依瑞克斯,Zirax,Zirax,Zirax,Zirax,
TalonGuardian,"Talon Guardian",塔伦土著村民,"Guardien Talon","Talon Wächter","Talon Guardian","Guardia Talon",
TalonGuardianLeader,"Talon Guardian - Leader",塔伦土著村长,"Guardien Talon - chef","Talon Wächter - Anführer","Talon Guardian - Leader","Guardia Talon (Líder)",
TalonGuardianGroup,"Talon Guardian",塔伦土著巡逻队,"Guardien Talon","Talon Wächter","Talon Guardian","Guardia Talon",
Slime,Slime,史莱姆,Baveux,Glibber,Slime,Babosas,
TurretRobot,"Turret Robot",自动炮防御机器人,"Tourelle robotisée",Roboter,"Turret Robot","Torreta Robot",
PlantMonster,"Plant Monster",食人花,"Plante vivante",Pflanzenmonster,"Plant Monster","Monstruo Planta",
Hexapod,"Alien Insect",外星昆虫,"Insecte alien","Alien Insekt","Alien Insect","Insecto Alien",
RaptorNight,"Raptor Night",,"Raptor nocturne","Raptor (nachtaktiv)","Raptor Night","Velociraptor Nocturno",
Raptor,Raptor,三角龙,Raptoro,Raptor,Raptor,Velociraptor,
RaptorLeader,"Raptor - Leader",三角龙头龙,"Raptor - chef","Raptor - Anführer","Raptor - Leader","Raptor (Líder)",
RaptorGroup,Raptor,三角龙群,Raptor,Raptor,Raptor,Raptor,
ParasaurLeader,"Parasaur - Leader",副栉龙头龙,"Parasaure - chef","Parasaurier - Anführer","Parasaur - Leader","Parasaurio (Líder)",
ParasaurGroup,Parasaur,副栉龙群,Parasaure,Parasaurier,Parasaur,Parasaurio,
ParasaurBaby,"Parasaur Baby",副栉龙幼崽,"Petit parasaure",Parasaurierbaby,"Parasaur Baby","Parasaurio (Cría)",
AlienAssassinGrey,"Alien Assassin",暗杀者,"Assassin alien","Alien Meuchler","Alien Assassin","Alienígena Asesino",
AlienAssassinRed,"Alien Assassin",,"Assassin alien","Alien Meuchler",,"Alienígena Asesino",
Asteroid_resource01,Asteroid,小行星,Astéroïde,"Sathium Asteroid",Asteroid,Asteroide,
CV_Talos_Destroyed_back,"Crashed MS Titan (back part)",坠毁的塔伦泰坦级飞船（后部）,"Décombres du MS Titan (partie arrière)","Abgestürzte MS Titan (Heck)","Crashed MS Titan (back part)","MS Titan Estrellada (trasera)",
CV_Talos_Destroyed_front,"Crashed MS Titan (front part)",坠毁的塔伦泰坦级飞船（前部）,"Décombres du MS Titan (partie avant)","Abgestürzte MS Titan (Vorderteil)","Crashed MS Titan (front part)","MS Titan Estrellada (delantera)",
CV_Talos_Destroyed_mid,"Crashed MS Titan (mid part)",坠毁的塔伦泰坦级飞船（中部）,"Décombres du MS Titan (partie médiane)","Abgestürzte MS Titan (Mittelteil)","Crashed MS Titan (mid part)","MS Titan Estrellada (mediana)",
CV_Titan_crashed_GC,"Crashed Ship","坠毁的泰坦级飞船 1","Vaisseau écrasé","Abgestürztes Raumschiff","Crashed Ship","Nave Estrellada",
CV_Titan_crashed,"Crashed Ship","坠毁的泰坦级飞船 2","Vaisseau écrasé","Abgestürztes Raumschiff","Crashed Ship","Nave Estrellada",
CV_Titan_crashedV2,"Crashed Ship","坠毁的泰坦级飞船 3","Vaisseau écrasé","Abgestürztes Raumschiff","Crashed Ship","Nave Estrellada",
CV_Hyperion_crashed,"Crashed Hyperion",坠毁的亥伯龙级飞船,"Coque accidenté du Hyperion","Abgestürzte Hyperion","Crashed Hyperion","Hyperion Estrellada",
CV_ISS,"Research Station",研究站,"Station de recherche",Forschungsstation,"Research Station","Centro Investigacion",
BA_TransportationStation,"Transportation Hub",中转港,"Plateforme de transport","Transport Hub","Transportation Hub","Centro de Transporte",
BA_Epsilon_DroneBase,"Drone Base",Epsiilon的无人机基地,"Base de lancement de drones",Drohnenbasis,"Drone Base","Base Dron",
BA_Xenu_DroneBase,"Drone Base",Xenu的无人机基地,"Base de lancement de drones",Drohnenbasis,"Drone Base","Base Dron",
BA_Rados_DroneBase,"Drone Base",Rados的无人机基地,"Base de lancement de drones",Drohnenbasis,"Drone Base","Base Dron",
BA_GhostRider_DroneBase,"Drone Base","Ghost Rider 的无人机基地","Base de lancement de drones",Drohnenbasis,"Drone Base","Base Dron",
Alien_artifact_obelisk,"Alien Artifact",外星纪念碑,"Artéfact alien",Alien-Artefakt,"Alien Artifact","Artefacto Alienígena",
BA_AlienTower1,"Alien Tower V1",外星人一级防御塔,"Tour alien V1","Alienturm V1","Alien Tower V1","Torre V1 Alienígena",
BA_AlienTower2,"Alien Tower V2",外星人二级防御塔,"Tour alien V2","Alienturm V2","Alien Tower V2","Torre V2 Alienígena",
BA_AlienTower3,"Alien Tower V3",外星人三级防御塔,"Tour alien V3","Alienturm V3","Alien Tower V3","Torre V3 Alienígena",
BA_AlienTower4,"Alien Tower V4",外星人四级防御塔,"Tour alien V4","Alienturm V4","Alien Tower V4","Torre V4 Alienígena",
BA_HabitatBeta,"Alien Base",外星人基地,"Base alien",Alienbasis,"Alien Base","Base Alienígena",
BA_PF1,"Alien Base",外星人基地_PF1,"Base alien",Alienbasis,"Alien Base","Base Alienígena",
BA_PF7,"Alien Base","外星人基地 _PF7","Base alien",Alienbasis,"Alien Base","Base Alienígena",
BA_OrbitalSpire,"Alien Base",外星人轨道基地,"Base alien",Alienbasis,"Base alienígena","Base Alienígena",
BA_Dead8Eye-HQ,"Alien Base",外星人Dead8Eye级总部,"Base alien",Alienbasis,"Base alienígena","Base Alienígena",
BA_SpireSatellite,"Alien Base",外星人轨道卫星,"Base alien",Alienbasis,"Base alienígena","Base Alienígena",
BA_RadosPowerStation,"Rados Power Station","Rados 能源站","Centrale électrique Rados","Rados Kraftwerk","Estação de força Rados","Central Eléctrica (Rados)",
BA_RadosRefinery,"Rados Refinery","Rados 精炼站","Raffinerie Rados","Rados Raffinerie","Refinaria Rados","Refinería (Rados)",
BA_RadosFuelDepot,"Rados Fuel Depot","Rados 燃料站","Dépôt de fuel Rados","Rados Kraftstoff Depot","Rados Fuel Depot","Depósito de Combustible (Rados)",
BA_RadosDefenceI,"Rados Defence I","Rados I级防卫基地","Défense Rados I","Rados Verteidigung I","Rados Defence I","Defensa I (Rados)",
BA_RadosDefenceII,"Rados Defence II","Rados II级防卫基地","Défense Rados II","Rados Verteidigung II","Rados Defence II","Defensa II (Rados)",
BA_RadosDefenceIII,"Rados Defence III","Rados III级防卫基地","Défense Rados III","Rados Verteidigung III","Rados Defence III","Defensa III (Rados)",
BA_Rados_MissileSilo,"Rados Missile Silo","Rados 导弹发射井","Silo Rados","Rados Raketensilo","Rados Missile Silo","Silo de Misiles (Rados)",
BA_EpsilonDefenceI,"Epsilon Defence I","Epsilon I级防卫基地","Défense Epsilon I","Epsilon Verteidigung I","Epsilon Defence I","Defensa Epsilon I",
BA_EpsilonDefenceII,"Epsilon Defence II","Epsilon II级防卫基地","Défense Epsilon II","Epsilon Verteidigung II","Epsilon Defence II","Defensa Epsilon II",
